time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1909-11-22T15:21:00.000Z,36.7,-121.4,,4.5,ml,,,,,ushis,ushis496,2018-06-04T20:43:44.000Z,"Central California",earthquake,,,,,reviewed,ushis,cdmg
1909-10-29T06:45:00.000Z,40.5,-124.2,,6.4,ml,,,,,ushis,ushis495,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1909-10-23T07:10:00.000Z,37,-89.5,,4.5,fa,,,,,ushis,ushis494,2018-06-04T20:43:44.000Z,"Missouri",earthquake,,,,,reviewed,ushis,bar
1909-10-20T23:41:22.000Z,28.074,69.333,35,7,mw,,,,,iscgem,iscgem16958054,2020-07-09T22:01:09.965Z,"Pakistan",earthquake,,,,,automatic,iscgem,iscgem
1909-09-27T09:45:00.000Z,39.8,-87.2,,5.1,fa,,,,,ushis,ushis492,2018-06-04T20:43:44.000Z,"Indiana",earthquake,,,,,reviewed,ushis,sc
1909-09-08T16:49:48.000Z,52.5,-169,90,7.4,mb,,,,,ushis,ushis491,2018-06-04T20:43:44.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,gr
1909-07-30T10:51:51.000Z,16.471,-99.427,20,7.5,mw,,,,,iscgem,iscgem16958045,2020-07-09T22:00:51.742Z,"offshore Guerrero, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1909-07-19T04:34:00.000Z,40.2,-90,,4.8,fa,,,,,ushis,ushis490,2018-06-04T20:43:44.000Z,"Illinois",earthquake,,,,,reviewed,ushis,sc
1909-07-07T21:37:47.000Z,35.387,70.251,200,7.7,mw,,,,,iscgem,iscgem16958043,2020-07-09T22:00:22.204Z,"Hindu Kush region, Afghanistan",earthquake,,,,,automatic,iscgem,iscgem
1909-06-23T07:24:00.000Z,39.4,-120.8,,5.7,ml,,,,,ushis,ushis489,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1909-05-26T14:42:00.000Z,41.6,-88.1,,5.1,fa,,,,,ushis,ushis488,2018-06-04T20:43:44.000Z,"Illinois",earthquake,,,,,reviewed,ushis,sc
1909-05-16T04:15:00.000Z,49,-104,,5.5,lg,,,,,ushis,ushis486,2018-06-04T20:43:44.000Z,"Saskatchewan, Canada",earthquake,,,,,reviewed,ushis,epb
1909-04-10T19:36:00.000Z,52,175,,7,ms,,,,,ushis,ushis484,2018-06-04T20:43:44.000Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1909-03-13T14:29:00.000Z,35.407,142.29,15,7.1,mw,,,,,iscgem,iscgem16958018,2020-07-09T22:00:02.860Z,"off the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1909-03-03T12:00:00.000Z,39.4,-120.9,,5,ml,,,,,ushis,ushis483,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1909-02-14T15:55:00.000Z,38.1,-121.7,,4.5,ml,,,,,ushis,ushis481,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1909-02-09T11:23:57.000Z,39.665,38.027,15,6.3,mw,,,,,iscgemsup,iscgemsup16958012,2020-07-10T13:32:27.459Z,"eastern Turkey",earthquake,,,,,automatic,iscgem,iscgem
1909-01-23T02:48:28.000Z,34.248,50.41,15,7.3,mw,,,,,iscgemsup,iscgemsup16958011,2020-07-10T13:31:58.579Z,"central Iran",earthquake,,,,,automatic,iscgem,iscgem
1909-01-11T23:44:00.000Z,49,-122.7,,6,ml,,,,,ushis,ushis480,2018-06-04T20:43:44.000Z,"Washington",earthquake,,,,,reviewed,ushis,nqt
1908-12-28T04:20:26.000Z,38,15.349,15,7,mw,,,,,iscgem,iscgem16958009,2020-07-09T21:59:45.219Z,"Sicily, Italy",earthquake,,,,,automatic,iscgem,iscgem
1908-12-12T12:54:57.000Z,26.948,96.773,15,7,mw,,,,,iscgem,iscgem16958007,2020-07-09T21:59:26.146Z,"Myanmar",earthquake,,,,,automatic,iscgem,iscgem
1908-11-04T08:37:00.000Z,36,-117,,6.5,ms,,,,,ushis,ushis478,2018-06-04T20:43:44.000Z,"Central California",earthquake,,,,,reviewed,ushis,cfr
1908-09-21T06:31:00.000Z,19,-155,,6.8,ms,,,,,ushis,ushis477,2018-06-04T20:43:44.000Z,"Hawaii region, Hawaii",earthquake,,,,,reviewed,ushis,abe
1908-08-20T09:53:24.000Z,31.228,87.835,15,6.9,mw,,,,,iscgemsup,iscgemsup16957997,2020-07-10T13:31:38.085Z,"western Xizang",earthquake,,,,,automatic,iscgem,iscgem
1908-08-18T10:59:00.000Z,40.8,-124,,5,ml,,,,,ushis,ushis476,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1908-05-15T08:31:36.000Z,59,-141,,7,ms,,,,,ushis,ushis474,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,abe
1908-04-25T11:33:00.000Z,36.6,-121.8,,4.5,ml,,,,,ushis,ushis473,2018-06-04T20:43:44.000Z,"Central California",earthquake,,,,,reviewed,ushis,cdmg
1908-02-09T18:13:17.000Z,29.278,100.656,15,6.7,mw,,,,,iscgem,iscgem16957984,2020-07-09T21:59:07.210Z,"western Sichuan, China",earthquake,,,,,automatic,iscgem,iscgem
1907-10-21T04:23:43.000Z,39.179,70.585,20,7.4,mw,,,,,iscgem,iscgem16957975,2020-07-09T21:58:39.762Z,"Tajikistan",earthquake,,,,,automatic,iscgem,iscgem
1907-09-20T01:54:00.000Z,34.2,-117.1,,5.3,mw,,,,,ushis,ushis468,2018-06-04T20:43:44.000Z,"Southern California",earthquake,,,,,reviewed,ushis,hht
1907-09-02T16:01:00.000Z,52.59,169.73,,7.4,ms,,,,,ushis,ushis467,2018-06-04T20:43:44.000Z,"south of the Aleutian Islands",earthquake,,,,,reviewed,ushis,abe
1907-08-22T22:24:00.000Z,57,-161,120,6.5,mb,,,,,ushis,ushis466,2018-06-04T20:43:44.000Z,"Bristol Bay",earthquake,,,,,reviewed,ushis,gr
1907-05-04T05:51:01.000Z,-6.708,152.821,25,6.6,mw,,,,,iscgem,iscgem16957956,2015-05-13T18:52:41.000Z,"New Britain region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
